rank,product,metric,model,MAE,RMSE,sMAPE,ActualSum,ForecastSum,SumPctErr
3,Fresh Fruit Cake,totalValue,mean_all,3389.135923522518,3822.6022291539703,33.24133433680594,117903.69,161962.45700579273,37.36843775270539
3,Fresh Fruit Cake,totalValue,median_all,2926.641115000712,3491.784175216875,29.56599595518365,117903.69,155950.02449500922,32.26899386695125
3,Fresh Fruit Cake,totalValue,mean_no_prophet,3136.996361967177,3571.227298109192,31.247507430769556,117903.69,158684.64270557332,34.588359961909006
3,Fresh Fruit Cake,totalValue,median_no_prophet,2846.4988260923824,3426.3068888017947,28.916159924253705,117903.69,154908.174739201,31.38534912622412
3,Fresh Fruit Cake,totalValue,mean_classical,3970.5606592786603,4351.519763341884,37.61758976547265,117903.69,169520.97857062262,43.779196877233126
3,Fresh Fruit Cake,totalValue,median_classical,2874.990170838594,3421.2635658657323,29.17524418214621,117903.69,155278.5622209017,31.699493222732627
4,Ferrero Rocher Cake,totalValue,Prophet,4243.745181213106,5337.097823306849,32.73847396779293,175205.99999999997,201086.60404560532,14.771528398345577
4,Ferrero Rocher Cake,totalValue,AutoARIMA,3922.2996039426002,5141.284831686295,30.936299846305953,175205.99999999997,172977.45455941488,-1.2719572620715562
4,Ferrero Rocher Cake,totalValue,AutoETS,3846.6583028481527,5270.080960768804,30.249055114632924,175205.99999999997,171745.36681866198,-1.975179606484935
4,Ferrero Rocher Cake,totalValue,Croston,3832.6659605233485,5264.028531322875,30.11428405588824,175205.99999999997,174110.07267155396,-0.6255078755556357
4,Ferrero Rocher Cake,totalValue,LightGBM,5674.4977911475535,7135.997718029257,47.635921922478474,175205.99999999997,121213.43483759896,-30.816618815794563
4,Ferrero Rocher Cake,totalValue,mean_all,3922.4379096572948,5278.535025919025,30.915317400746318,175205.99999999997,168226.58658656702,-3.983547032312222
4,Ferrero Rocher Cake,totalValue,median_all,3832.665960523349,5244.875574125652,30.148286379405587,175205.99999999997,173018.66997021923,-1.2484332898306816
4,Ferrero Rocher Cake,totalValue,mean_no_prophet,4139.374251926617,5466.601363196036,32.70247565122645,175205.99999999997,160011.58222180748,-8.672315889976655
4,Ferrero Rocher Cake,totalValue,median_no_prophet,3834.433553464687,5223.061794238199,30.2266904976945,175205.99999999997,170326.24790887994,-2.785151245459646
4,Ferrero Rocher Cake,totalValue,mean_classical,3831.108051202344,5213.784388221452,30.17124694993874,175205.99999999997,172944.29801654362,-1.2908815813707035
4,Ferrero Rocher Cake,totalValue,median_classical,3832.665960523349,5244.875574125652,30.148286379405587,175205.99999999997,173018.66997021923,-1.2484332898306816
5,Belgium Choco Mousse Cake,totalValue,Prophet,4173.195239931354,4393.100256441867,67.99120853903612,59413.79,113665.32811910761,91.31135737866177
5,Belgium Choco Mousse Cake,totalValue,AutoARIMA,3263.5893401038584,3725.0520751902127,63.614607865789175,59413.79,87278.63789679315,46.89963036660875
5,Belgium Choco Mousse Cake,totalValue,AutoETS,2824.997594147991,3346.5784358656692,53.46392158177562,59413.79,96138.75872392388,61.81219667003886
5,Belgium Choco Mousse Cake,totalValue,Croston,2837.6289171967987,3357.2479342715587,53.61465690515884,59413.79,96302.96592355841,62.08857560434776
5,Belgium Choco Mousse Cake,totalValue,LightGBM,3587.065393333554,3836.6110398641754,62.22189391344918,59413.79,106045.64011333621,78.48657712853566
5,Belgium Choco Mousse Cake,totalValue,mean_all,3113.267396564911,3434.2419280538775,56.681534243728706,59413.79,99886.26615534384,68.11966742963853
5,Belgium Choco Mousse Cake,totalValue,median_all,3158.92313667194,3493.5985011642615,57.4333386866546,59413.79,100479.79077673522,69.11863521370243
5,Belgium Choco Mousse Cake,totalValue,mean_no_prophet,2848.2854357233005,3218.816726776804,53.456852274001044,59413.79,96441.5006644029,62.321744942382736
5,Belgium Choco Mousse Cake,totalValue,median_no_prophet,2932.980436104586,3317.691842377244,54.949892863975,59413.79,97542.53566935963,64.17490900573692
5,Belgium Choco Mousse Cake,totalValue,mean_classical,2602.025449853216,3122.4079957188956,49.685759378156355,59413.79,93240.12084809181,56.93346754699845
5,Belgium Choco Mousse Cake,totalValue,median_classical,2828.8841550860857,3347.9949088677113,53.515064479155825,59413.79,96189.28401611911,61.89723634213389
