rank,product,metric,week_index,week_start,actual,point,with_safety_30pct,point_err,safety_err
2,Pineapple Cake,qty,3,2026-03-30,85.0,75.6121601840975,98.29580823932676,-9.387839815902495,13.29580823932676
2,Pineapple Cake,qty,4,2026-04-06,59.0,75.6121601840975,98.29580823932676,16.612160184097505,39.29580823932676
2,Pineapple Cake,qty,5,2026-04-13,50.0,75.6121601840975,98.29580823932676,25.612160184097505,48.29580823932676
2,Pineapple Cake,qty,6,2026-04-20,41.0,75.6121601840975,98.29580823932676,34.612160184097505,57.29580823932676
2,Pineapple Cake,qty,7,2026-04-27,62.0,75.6121601840975,98.29580823932676,13.612160184097505,36.29580823932676
2,Pineapple Cake,qty,8,2026-05-04,77.0,75.6121601840975,98.29580823932676,-1.3878398159024954,21.29580823932676
2,Pineapple Cake,qty,9,2026-05-11,60.0,75.6121601840975,98.29580823932676,15.612160184097505,38.29580823932676
2,Pineapple Cake,qty,10,2026-05-18,36.0,75.6121601840975,98.29580823932676,39.612160184097505,62.29580823932676
2,Pineapple Cake,qty,11,2026-05-25,75.0,75.6121601840975,98.29580823932676,0.6121601840975046,23.29580823932676
2,Pineapple Cake,qty,12,2026-06-01,53.0,75.6121601840975,98.29580823932676,22.612160184097505,45.29580823932676
2,Pineapple Cake,qty,13,2026-06-08,26.0,75.6121601840975,98.29580823932676,49.612160184097505,72.29580823932676
3,Fresh Fruit Cake,totalValue,1,2026-03-16,10910.86,11784.757083518838,15320.18420857449,873.8970835188375,4409.32420857449
3,Fresh Fruit Cake,totalValue,2,2026-03-23,6061.2,11784.757083518838,15320.18420857449,5723.557083518838,9258.98420857449
3,Fresh Fruit Cake,totalValue,3,2026-03-30,11448.99,11784.757083518838,15320.18420857449,335.76708351883826,3871.1942085744904
3,Fresh Fruit Cake,totalValue,4,2026-04-06,10230.98,11784.757083518838,15320.18420857449,1553.7770835188385,5089.204208574491
3,Fresh Fruit Cake,totalValue,5,2026-04-13,9531.93,11784.757083518838,15320.18420857449,2252.8270835188378,5788.25420857449
3,Fresh Fruit Cake,totalValue,6,2026-04-20,7903.37,11784.757083518838,15320.18420857449,3881.387083518838,7416.81420857449
3,Fresh Fruit Cake,totalValue,7,2026-04-27,10582.94,11784.757083518838,15320.18420857449,1201.8170835188375,4737.24420857449
3,Fresh Fruit Cake,totalValue,8,2026-05-04,7712.1900000000005,11784.757083518838,15320.18420857449,4072.5670835188375,7607.99420857449
3,Fresh Fruit Cake,totalValue,9,2026-05-11,7753.31,11784.757083518838,15320.18420857449,4031.4470835188376,7566.87420857449
3,Fresh Fruit Cake,totalValue,10,2026-05-18,6582.68,11784.757083518838,15320.18420857449,5202.077083518838,8737.50420857449
3,Fresh Fruit Cake,totalValue,11,2026-05-25,10229.29,11784.757083518838,15320.18420857449,1555.4670835188372,5090.894208574489
3,Fresh Fruit Cake,totalValue,12,2026-06-01,7246.41,11784.757083518838,15320.18420857449,4538.347083518838,8073.77420857449
3,Fresh Fruit Cake,totalValue,13,2026-06-08,11709.54,11784.757083518838,15320.18420857449,75.21708351883717,3610.6442085744893
3,Fresh Fruit Cake,qty,1,2026-03-16,63.0,68.13506282392946,88.5755816711083,5.135062823929459,25.575581671108296
3,Fresh Fruit Cake,qty,2,2026-03-23,35.0,68.13506282392946,88.5755816711083,33.13506282392946,53.575581671108296
3,Fresh Fruit Cake,qty,3,2026-03-30,66.0,68.13506282392946,88.5755816711083,2.1350628239294593,22.575581671108296
3,Fresh Fruit Cake,qty,4,2026-04-06,57.0,68.13506282392946,88.5755816711083,11.13506282392946,31.575581671108296
3,Fresh Fruit Cake,qty,5,2026-04-13,53.0,68.13506282392946,88.5755816711083,15.13506282392946,35.575581671108296
3,Fresh Fruit Cake,qty,6,2026-04-20,44.0,68.13506282392946,88.5755816711083,24.13506282392946,44.575581671108296
3,Fresh Fruit Cake,qty,7,2026-04-27,59.0,68.13506282392946,88.5755816711083,9.13506282392946,29.575581671108296
3,Fresh Fruit Cake,qty,8,2026-05-04,43.0,68.13506282392946,88.5755816711083,25.13506282392946,45.575581671108296
3,Fresh Fruit Cake,qty,9,2026-05-11,44.0,68.13506282392946,88.5755816711083,24.13506282392946,44.575581671108296
3,Fresh Fruit Cake,qty,10,2026-05-18,37.0,68.13506282392946,88.5755816711083,31.13506282392946,51.575581671108296
3,Fresh Fruit Cake,qty,11,2026-05-25,57.0,68.13506282392946,88.5755816711083,11.13506282392946,31.575581671108296
3,Fresh Fruit Cake,qty,12,2026-06-01,39.0,68.13506282392946,88.5755816711083,29.13506282392946,49.575581671108296
3,Fresh Fruit Cake,qty,13,2026-06-08,61.0,68.13506282392946,88.5755816711083,7.135062823929459,27.575581671108296
4,Ferrero Rocher Cake,totalValue,1,2026-03-16,7365.83,13393.082513196461,17411.0072671554,6027.252513196461,10045.1772671554
4,Ferrero Rocher Cake,totalValue,2,2026-03-23,3681.22,13393.082513196461,17411.0072671554,9711.862513196462,13729.787267155401
4,Ferrero Rocher Cake,totalValue,3,2026-03-30,11016.36,13393.082513196461,17411.0072671554,2376.7225131964606,6394.6472671554
4,Ferrero Rocher Cake,totalValue,4,2026-04-06,9549.66,13393.082513196461,17411.0072671554,3843.4225131964613,7861.347267155401
4,Ferrero Rocher Cake,totalValue,5,2026-04-13,13716.31,13393.082513196461,17411.0072671554,-323.22748680353834,3694.6972671554013
4,Ferrero Rocher Cake,totalValue,6,2026-04-20,17353.69,13393.082513196461,17411.0072671554,-3960.6074868035375,57.31726715540208
4,Ferrero Rocher Cake,totalValue,7,2026-04-27,20266.989999999998,13393.082513196461,17411.0072671554,-6873.907486803537,-2855.982732844597
4,Ferrero Rocher Cake,totalValue,8,2026-05-04,15850.13,13393.082513196461,17411.0072671554,-2457.047486803538,1560.8772671554016
4,Ferrero Rocher Cake,totalValue,9,2026-05-11,25083.739999999998,13393.082513196461,17411.0072671554,-11690.657486803537,-7672.732732844597
4,Ferrero Rocher Cake,totalValue,10,2026-05-18,12693.5,13393.082513196461,17411.0072671554,699.5825131964612,4717.507267155401
4,Ferrero Rocher Cake,totalValue,11,2026-05-25,11687.56,13393.082513196461,17411.0072671554,1705.5225131964617,5723.447267155401
4,Ferrero Rocher Cake,totalValue,12,2026-06-01,13492.21,13393.082513196461,17411.0072671554,-99.12748680353798,3918.7972671554016
4,Ferrero Rocher Cake,totalValue,13,2026-06-08,13448.8,13393.082513196461,17411.0072671554,-55.71748680353812,3962.2072671554015
4,Ferrero Rocher Cake,qty,1,2026-03-16,24.0,40.5301701955383,52.689221254199786,16.530170195538297,28.689221254199786
4,Ferrero Rocher Cake,qty,2,2026-03-23,12.0,40.5301701955383,52.689221254199786,28.530170195538297,40.689221254199786
4,Ferrero Rocher Cake,qty,3,2026-03-30,36.0,40.5301701955383,52.689221254199786,4.530170195538297,16.689221254199786
4,Ferrero Rocher Cake,qty,4,2026-04-06,30.0,40.5301701955383,52.689221254199786,10.530170195538297,22.689221254199786
4,Ferrero Rocher Cake,qty,5,2026-04-13,43.0,40.5301701955383,52.689221254199786,-2.4698298044617033,9.689221254199786
4,Ferrero Rocher Cake,qty,6,2026-04-20,54.0,40.5301701955383,52.689221254199786,-13.469829804461703,-1.3107787458002136
4,Ferrero Rocher Cake,qty,7,2026-04-27,64.0,40.5301701955383,52.689221254199786,-23.469829804461703,-11.310778745800214
4,Ferrero Rocher Cake,qty,8,2026-05-04,50.0,40.5301701955383,52.689221254199786,-9.469829804461703,2.6892212541997864
4,Ferrero Rocher Cake,qty,9,2026-05-11,79.0,40.5301701955383,52.689221254199786,-38.4698298044617,-26.310778745800214
4,Ferrero Rocher Cake,qty,10,2026-05-18,40.0,40.5301701955383,52.689221254199786,0.5301701955382967,12.689221254199786
4,Ferrero Rocher Cake,qty,11,2026-05-25,37.0,40.5301701955383,52.689221254199786,3.5301701955382967,15.689221254199786
4,Ferrero Rocher Cake,qty,12,2026-06-01,43.0,40.5301701955383,52.689221254199786,-2.4698298044617033,9.689221254199786
4,Ferrero Rocher Cake,qty,13,2026-06-08,43.0,40.5301701955383,52.689221254199786,-2.4698298044617033,9.689221254199786
5,Belgium Choco Mousse Cake,totalValue,1,2026-03-16,4375.379999999999,7407.920455658337,9630.296592355839,3032.540455658338,5254.916592355839
5,Belgium Choco Mousse Cake,totalValue,2,2026-03-23,761.86,7407.920455658337,9630.296592355839,6646.060455658338,8868.436592355838
5,Belgium Choco Mousse Cake,totalValue,3,2026-03-30,3567.34,7407.920455658337,9630.296592355839,3840.580455658337,6062.956592355838
5,Belgium Choco Mousse Cake,totalValue,4,2026-04-06,3183.55,7407.920455658337,9630.296592355839,4224.370455658337,6446.746592355838
5,Belgium Choco Mousse Cake,totalValue,5,2026-04-13,4879.52,7407.920455658337,9630.296592355839,2528.400455658337,4750.776592355838
5,Belgium Choco Mousse Cake,totalValue,6,2026-04-20,5115.9,7407.920455658337,9630.296592355839,2292.0204556583376,4514.396592355839
5,Belgium Choco Mousse Cake,totalValue,7,2026-04-27,7049.97,7407.920455658337,9630.296592355839,357.950455658337,2580.3265923558383
5,Belgium Choco Mousse Cake,totalValue,8,2026-05-04,6796.55,7407.920455658337,9630.296592355839,611.370455658337,2833.7465923558384
5,Belgium Choco Mousse Cake,totalValue,9,2026-05-11,7050.15,7407.920455658337,9630.296592355839,357.7704556583376,2580.146592355839
