rank,product,metric,model,MAE,RMSE,sMAPE,ActualSum,ForecastSum,SumPctErr
4,Ferrero Rocher Cake,totalValue,Croston,3832.6659605233485,5264.028531322875,30.11428405588824,175205.99999999997,174110.07267155396,-0.6255078755556357
4,Ferrero Rocher Cake,qty,Prophet,12.011883044399829,15.234315796696936,29.81400228939592,555.0,618.0730437604042,11.364512389262012
4,Ferrero Rocher Cake,qty,AutoARIMA,12.14541804405864,16.307734610834355,30.262886759488566,555.0,522.2883130281175,-5.893997652591441
4,Ferrero Rocher Cake,qty,AutoETS,12.081961776124594,15.816512300061653,29.90991385172351,555.0,570.9670641827452,2.8769485013955247
4,Ferrero Rocher Cake,qty,Croston,12.036140754189363,16.528628152817397,29.87788395190084,555.0,526.8922125419979,-5.064466208649031
5,Belgium Choco Mousse Cake,totalValue,Prophet,4173.195239931354,4393.100256441867,67.99120853903612,59413.79,113665.32811910761,91.31135737866177
5,Belgium Choco Mousse Cake,totalValue,AutoARIMA,3263.5893401038584,3725.0520751902127,63.614607865789175,59413.79,87278.63789679315,46.89963036660875
5,Belgium Choco Mousse Cake,totalValue,AutoETS,2824.997594147991,3346.5784358656692,53.46392158177562,59413.79,96138.75872392388,61.81219667003886
5,Belgium Choco Mousse Cake,totalValue,Croston,2837.6289171967987,3357.2479342715587,53.61465690515884,59413.79,96302.96592355841,62.08857560434776
5,Belgium Choco Mousse Cake,qty,Prophet,15.507982600607031,16.37564932211134,66.4774351877392,232.0,433.60377380789146,86.89817836547046
5,Belgium Choco Mousse Cake,qty,AutoARIMA,9.221753177291799,10.9594245385304,48.46259179796778,232.0,345.720935434044,49.01764458363966
5,Belgium Choco Mousse Cake,qty,AutoETS,14.60543469631994,16.1245710359687,64.03941113310594,232.0,421.87065105215925,81.84079786731002
5,Belgium Choco Mousse Cake,qty,Croston,8.711045660839519,10.570408621773334,46.541086103683476,232.0,332.8809595259826,43.48317220947525
6,Biscoff Jar Cake,totalValue,Prophet,2134.9737147780406,2401.0397499014994,46.486986509531114,23959.86,20250.54115302018,-15.481387816872966
6,Biscoff Jar Cake,totalValue,AutoARIMA,1263.346625789324,1491.4220560729004,26.749739580470255,23959.86,28071.872541627592,17.162089184275665
6,Biscoff Jar Cake,totalValue,AutoETS,1512.9120913036113,1592.6428411226414,31.29748043579072,23959.86,27345.409553989157,14.130089048889086
6,Biscoff Jar Cake,totalValue,Croston,1513.378374118212,1592.883760784919,31.30598923562524,23959.86,27341.4593529553,14.11360230383357
6,Biscoff Jar Cake,qty,Prophet,20.986437165384032,23.612077745363116,44.6208421450021,240.0,211.41800057083987,-11.909166428816723
6,Biscoff Jar Cake,qty,AutoARIMA,15.943800766788442,17.02888781419428,32.97418301517198,240.0,278.59501916971107,16.08125798737961
6,Biscoff Jar Cake,qty,AutoETS,16.043188893220748,17.25983034302773,33.1259867611471,240.0,281.07972233051873,17.116550971049474
6,Biscoff Jar Cake,qty,Croston,15.997336385941718,17.151882935885897,33.05627349780689,240.0,279.933409648543,16.63892068689291
7,Dream Cake,totalValue,Prophet,1396.680331700468,1724.6805244491177,27.35072343804992,67150.49,75006.01353927032,11.698386027071905
7,Dream Cake,totalValue,AutoARIMA,2253.1041582589105,2604.4959749447657,39.14146213989455,67150.49,95596.9702496142,42.362282463782755
7,Dream Cake,totalValue,AutoETS,2248.4391725733517,2599.865759070507,39.082403028068036,67150.49,95525.2991058997,42.25555034058529
7,Dream Cake,totalValue,Croston,2246.579826513954,2598.021232202656,39.05884850333903,67150.49,95496.73278916893,42.2130095985434
7,Dream Cake,qty,Prophet,7.966404671616446,9.72326897601303,27.338531715687157,395.0,398.7382059171408,0.9463812448457766
7,Dream Cake,qty,AutoARIMA,9.954398192371713,12.339412390064101,31.66971680826252,395.0,514.6330464807372,30.286847210313223
7,Dream Cake,qty,AutoETS,9.039325384362115,11.523850291667362,29.41742751793159,395.0,499.33145363247263,26.41302623606902
