#,Product Name,UY ID,Final Product SKU,KIT SKU,KIT Name,# Kit Items,Has L1 (Assembly),Has L2 (Final),Issue
103,Mango Naked Cake (500 gm),22969,1003454,KIT092,Mango Naked Cake (CF) (500 gm) — kit,3,Y,Y,OK
104,Mango Passion Fruit Bento Cake,23337,1003551,KIT093,Mango Passion Fruit Bento Cake (CF) — kit,2,Y,Y,OK
105,Mango Pastry,4353,1000107,KIT094,Mango Pastry(Cf) — kit,4,Y,Y,OK
106,Mango Tart,32391,1006742,KIT095,Mango Tart (DR) — kit,6,Y,Y,OK
107,Mango Tres Leches (PCS),22968,1003453,KIT096,Mango Tres Leches (CF) — kit,7,Y,Y,OK
108,Marble Cake (500 gm),4365,1000443,KIT097,Marble Cake(Cf) (500 gm) — kit,3,Y,Y,OK
109,Marble Tea Cake (Eggless),6014,1000499,KIT098,Marble Tea Cake(Pc) ((EGGLESS)) — kit,3,Y,Y,OK
110,Matcha missu Cheesecake Slice,25433,1004566,KIT100,Matcha missu Cheesecake Slice (DR) — kit,4,Y,Y,OK
111,Matcha Missu Tub,25430,1004563,KIT099,Matcha Missu Tub (DR) — kit,5,Y,Y,OK
112,Matka Rasmalai Cake,24793,1004333,KIT129,Rasmalai Cake(Cf) (500 gm) — kit,20,Y,Y,OK
113,Message Chocolate Name Plate,12866,1002361,KIT102,Message Chocolate Name Plate(Cf) — kit,1,Y,Y,OK
114,Milk Bread,28352,1005514,,,0,N,Y,NO KIT; NO L1
115,Milk Chocolate & Motichoor Tres leches,25560,1004600,KIT103,Milk Chocolate & Motichoor Tres leches (DR) — kit,6,Y,Y,OK
116,Milk Chocolate Bento Cake,23012,1003481,KIT104,Milk Chocolate Bento Cake (CF) — kit,2,Y,Y,OK
117,Milk Chocolate Verrine Cup (No Added Sugar),52836,1007472,KIT105,Milk Chocolate Verrine Cup (No added Sugar) (DR) — kit,8,Y,Y,OK
118,Milk Ganache (FC),25427,1004560,KIT082,MILK Chocolate Ganache — kit,4,Y,Y,OK
119,Millionaire Brownie,4521,1000993,KIT106,Millionaire Brownie(Cf) — kit,1,Y,Y,OK
120,Modak Set of 9,24798,1004337,KIT016,Biscoff Modak — kit,27,Y,Y,OK
121,Motichoor Cheesecake Slice,25555,1004596,KIT107,Motichoor Cheesecake Slice (DR) — kit,3,Y,Y,OK
